step,u1_roll,u2_pitch,u3_yaw,u4_thrust
0,0.16487959028404525,0.3289067936241412,0.10288710969722428,10.683037490661393
1,-0.2555954609196937,0.011702216860066568,-0.16982406341036138,10.500064065553099
2,0.06290544290320253,0.19591620830741072,0.039339921296752796,11.645850157666228
3,-0.08266323399768914,0.19984879700521357,-0.21614728856117807,11.894255659982553
4,-0.18650600526741845,-0.4189489441738561,0.093773676760196,10.940317415502035
5,-0.19817983415501747,-0.161142242680487,0.06390451808733896,11.909950250368636
6,0.01865691226197587,-0.17761094610185718,-0.18891100875989927,11.72577915411141
7,0.15219620917977952,-0.10520901413132373,-0.12263062158352557,10.954645164367017
8,0.12744578693002573,0.05605951373809616,0.10462712114476827,11.741890859522588
9,0.0038093438286485853,-0.15849829785503197,-0.0565198416332625,11.525507056662066
10,-0.2147672097973171,0.1855866922830505,-0.23805991845677044,10.480251102681848
11,-0.15109565666207397,1.2093272579504386,0.15108447259590485,0.40751004222617215
12,0.16576424801536455,0.36475848732742283,-0.15503985439880225,11.783700342027654
13,-0.05485981677243729,-0.07548688321301386,0.11610869032538002,10.504552996226634
14,0.19958268292383446,-0.6061669585236953,0.14289321010283973,7.185172173309321
